Nr	t[s]	Tytul	Tresc
-------------------------------------------------------------
1	0.02	--->	Tworzenie swiata.
2	0.022	<---	Tworzenie swiata.
3	0.034	OK	Tworzenie wejscia kontrolerow.
4	0.037	OK	Tworzenie klawiatury.
5	0.038	OK	Tworzenie myszy
6	0.04	OK	Ustawienie formatu danych klawiatury.
7	0.041	OK	Ustawienie wspolpracy klawiatury z oknem gry.
8	0.043	OK	Rezerwacja klawiatury.
9	0.044	OK	Ustawienie formatu danych myszy.
10	0.045	OK	Ustawienie wspolpracy myszy z oknem gry.
11	0.046	OK	Rezerwacja myszy.
12	0.047	--->	Logika::inic3W().
13	0.069	OK	.	Tworz interfejsy: karty, renderowania i lancucha.
14	0.07	OK	.	Przypisz bufor tylny do interfejsu.
15	0.07	OK	.	Tworz widok bufora tylnego.
16	0.071	OK	.	Tworzenie bufora glebi i szablonu.
17	0.072	OK	.	Tworzenie widoku glebi i szablonu.
18	0.073	<---	.	Logika::inic3W().
19	0.073	OK	.	.	Wgraj wierzcholki.
20	0.074	OK	.	.	Wgraj indeksy.
21	0.084	OK	.	.	Wgranie tekstury.
22	0.085	OK	.	.	Tworz bufor z laczeniem 1.
23	0.086	OK	.	.	Tworz bufor z laczeniem 2.
24	0.086	OK	.	.	Wypelnij bufor wierzcholkow.
25	0.087	OK	.	.	Wypelnij bufor indeksow.
26	0.088	OK	.	.	Wgraj wierzcholki.
27	0.088	OK	.	.	Wgraj indeksy.
28	0.101	OK	.	.	Wgranie tekstury.
29	0.102	OK	.	.	Tworz bufor z laczeniem 1.
30	0.103	OK	.	.	Tworz bufor z laczeniem 2.
31	0.104	OK	.	.	Wypelnij bufor wierzcholkow.
32	0.105	OK	.	.	Wypelnij bufor indeksow.
33	0.106	OK	.	.	Wgraj wierzcholki.
34	0.106	OK	.	.	Wgraj indeksy.
35	0.111	OK	.	.	Wgranie tekstury.
36	0.113	OK	.	.	Tworz bufor z laczeniem 1.
37	0.113	OK	.	.	Tworz bufor z laczeniem 2.
38	0.114	OK	.	.	Wypelnij bufor wierzcholkow.
39	0.115	OK	.	.	Wypelnij bufor indeksow.
40	0.115	--->	.	.	Tworz ObiektZbior.
41	0.116	<---	.	.	.	Tworz ObiektZbior.
77	0.149	OK	.	.	.	.	Wgraj wierzcholki.
78	0.15	OK	.	.	.	.	Wgraj indeksy.
79	0.152	OK	.	.	.	.	Wgranie tekstury.
80	0.153	OK	.	.	.	.	Tworz bufor z laczeniem 1.
81	0.154	OK	.	.	.	.	Tworz bufor z laczeniem 2.
82	0.155	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
83	0.155	OK	.	.	.	.	Wypelnij bufor indeksow.
84	0.156	OK	.	.	.	.	Wgraj wierzcholki.
85	0.157	OK	.	.	.	.	Wgraj indeksy.
86	0.159	OK	.	.	.	.	Wgranie tekstury.
87	0.16	OK	.	.	.	.	Tworz bufor z laczeniem 1.
88	0.16	OK	.	.	.	.	Tworz bufor z laczeniem 2.
89	0.161	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
90	0.163	OK	.	.	.	.	Wypelnij bufor indeksow.
91	0.164	OK	.	.	.	.	Wgraj wierzcholki.
92	0.165	OK	.	.	.	.	Wgraj indeksy.
93	0.167	OK	.	.	.	.	Wgranie tekstury.
94	0.167	OK	.	.	.	.	Tworz bufor z laczeniem 1.
95	0.169	OK	.	.	.	.	Tworz bufor z laczeniem 2.
96	0.17	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
97	0.171	OK	.	.	.	.	Wypelnij bufor indeksow.
98	0.173	OK	.	.	.	.	Wgraj wierzcholki.
99	0.173	OK	.	.	.	.	Wgraj indeksy.
100	0.175	OK	.	.	.	.	Wgranie tekstury.
101	0.176	OK	.	.	.	.	Tworz bufor z laczeniem 1.
102	0.177	OK	.	.	.	.	Tworz bufor z laczeniem 2.
103	0.177	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
104	0.179	OK	.	.	.	.	Wypelnij bufor indeksow.
105	0.18	OK	.	.	.	.	Wgraj wierzcholki.
106	0.18	OK	.	.	.	.	Wgraj indeksy.
107	0.182	OK	.	.	.	.	Wgranie tekstury.
108	0.183	OK	.	.	.	.	Tworz bufor z laczeniem 1.
109	0.184	OK	.	.	.	.	Tworz bufor z laczeniem 2.
110	0.185	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
111	0.185	OK	.	.	.	.	Wypelnij bufor indeksow.
112	0.186	OK	.	.	.	.	Wgraj wierzcholki.
113	0.186	OK	.	.	.	.	Wgraj indeksy.
114	0.188	OK	.	.	.	.	Wgranie tekstury.
115	0.189	OK	.	.	.	.	Tworz bufor z laczeniem 1.
116	0.19	OK	.	.	.	.	Tworz bufor z laczeniem 2.
117	0.191	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
118	0.192	OK	.	.	.	.	Wypelnij bufor indeksow.
119	0.192	OK	.	.	.	.	Wgraj wierzcholki.
120	0.193	OK	.	.	.	.	Wgraj indeksy.
121	0.195	OK	.	.	.	.	Wgranie tekstury.
122	0.196	OK	.	.	.	.	Tworz bufor z laczeniem 1.
123	0.197	OK	.	.	.	.	Tworz bufor z laczeniem 2.
124	0.197	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
125	0.198	OK	.	.	.	.	Wypelnij bufor indeksow.
126	0.199	OK	.	.	.	.	Wgraj wierzcholki.
127	0.199	OK	.	.	.	.	Wgraj indeksy.
128	0.201	OK	.	.	.	.	Wgranie tekstury.
129	0.202	OK	.	.	.	.	Tworz bufor z laczeniem 1.
130	0.202	OK	.	.	.	.	Tworz bufor z laczeniem 2.
131	0.203	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
132	0.204	OK	.	.	.	.	Wypelnij bufor indeksow.
133	0.205	OK	.	.	.	.	Wgraj wierzcholki.
134	0.206	OK	.	.	.	.	Wgraj indeksy.
135	0.208	OK	.	.	.	.	Wgranie tekstury.
136	0.209	OK	.	.	.	.	Tworz bufor z laczeniem 1.
137	0.21	OK	.	.	.	.	Tworz bufor z laczeniem 2.
138	0.21	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
139	0.211	OK	.	.	.	.	Wypelnij bufor indeksow.
140	0.212	OK	.	.	.	.	Wgraj wierzcholki.
141	0.212	OK	.	.	.	.	Wgraj indeksy.
142	0.214	OK	.	.	.	.	Wgranie tekstury.
143	0.215	OK	.	.	.	.	Tworz bufor z laczeniem 1.
144	0.215	OK	.	.	.	.	Tworz bufor z laczeniem 2.
145	0.216	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
146	0.217	OK	.	.	.	.	Wypelnij bufor indeksow.
147	0.217	OK	.	.	.	.	Wgraj wierzcholki.
148	0.218	OK	.	.	.	.	Wgraj indeksy.
149	0.22	OK	.	.	.	.	Wgranie tekstury.
150	0.221	OK	.	.	.	.	Tworz bufor z laczeniem 1.
151	0.221	OK	.	.	.	.	Tworz bufor z laczeniem 2.
152	0.222	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
153	0.223	OK	.	.	.	.	Wypelnij bufor indeksow.
154	0.223	OK	.	.	.	.	Wgraj wierzcholki.
155	0.224	OK	.	.	.	.	Wgraj indeksy.
156	0.226	OK	.	.	.	.	Wgranie tekstury.
157	0.227	OK	.	.	.	.	Tworz bufor z laczeniem 1.
158	0.229	OK	.	.	.	.	Tworz bufor z laczeniem 2.
159	0.23	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
160	0.231	OK	.	.	.	.	Wypelnij bufor indeksow.
161	0.232	OK	.	.	.	.	Wgraj wierzcholki.
162	0.233	OK	.	.	.	.	Wgraj indeksy.
163	0.234	OK	.	.	.	.	Wgranie tekstury.
164	0.235	OK	.	.	.	.	Tworz bufor z laczeniem 1.
165	0.236	OK	.	.	.	.	Tworz bufor z laczeniem 2.
166	0.237	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
167	0.237	OK	.	.	.	.	Wypelnij bufor indeksow.
168	0.238	OK	.	.	.	.	Wgraj wierzcholki.
169	0.239	OK	.	.	.	.	Wgraj indeksy.
170	0.24	OK	.	.	.	.	Wgranie tekstury.
171	0.241	OK	.	.	.	.	Tworz bufor z laczeniem 1.
172	0.242	OK	.	.	.	.	Tworz bufor z laczeniem 2.
173	0.243	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
174	0.243	OK	.	.	.	.	Wypelnij bufor indeksow.
175	0.244	OK	.	.	.	.	Wgraj wierzcholki.
176	0.245	OK	.	.	.	.	Wgraj indeksy.
177	0.246	OK	.	.	.	.	Wgranie tekstury.
178	0.247	OK	.	.	.	.	Tworz bufor z laczeniem 1.
179	0.248	OK	.	.	.	.	Tworz bufor z laczeniem 2.
180	0.249	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
181	0.249	OK	.	.	.	.	Wypelnij bufor indeksow.
182	0.25	OK	.	.	.	.	Wgraj wierzcholki.
183	0.25	OK	.	.	.	.	Wgraj indeksy.
184	0.252	OK	.	.	.	.	Wgranie tekstury.
185	0.254	OK	.	.	.	.	Tworz bufor z laczeniem 1.
186	0.254	OK	.	.	.	.	Tworz bufor z laczeniem 2.
187	0.255	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
188	0.256	OK	.	.	.	.	Wypelnij bufor indeksow.
189	0.256	OK	.	.	.	.	Wgraj wierzcholki.
190	0.257	OK	.	.	.	.	Wgraj indeksy.
191	0.259	OK	.	.	.	.	Wgranie tekstury.
192	0.26	OK	.	.	.	.	Tworz bufor z laczeniem 1.
193	0.26	OK	.	.	.	.	Tworz bufor z laczeniem 2.
194	0.261	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
195	0.262	OK	.	.	.	.	Wypelnij bufor indeksow.
196	0.263	OK	.	.	.	.	Wgraj wierzcholki.
197	0.264	OK	.	.	.	.	Wgraj indeksy.
198	0.266	OK	.	.	.	.	Wgranie tekstury.
199	0.267	OK	.	.	.	.	Tworz bufor z laczeniem 1.
200	0.268	OK	.	.	.	.	Tworz bufor z laczeniem 2.
201	0.269	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
202	0.27	OK	.	.	.	.	Wypelnij bufor indeksow.
203	0.271	OK	.	.	.	.	Wgraj wierzcholki.
204	0.272	OK	.	.	.	.	Wgraj indeksy.
205	0.273	OK	.	.	.	.	Wgranie tekstury.
206	0.275	OK	.	.	.	.	Tworz bufor z laczeniem 1.
207	0.276	OK	.	.	.	.	Tworz bufor z laczeniem 2.
208	0.276	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
209	0.277	OK	.	.	.	.	Wypelnij bufor indeksow.
210	0.278	OK	.	.	.	.	Wgraj wierzcholki.
211	0.279	OK	.	.	.	.	Wgraj indeksy.
212	0.281	OK	.	.	.	.	Wgranie tekstury.
213	0.282	OK	.	.	.	.	Tworz bufor z laczeniem 1.
214	0.282	OK	.	.	.	.	Tworz bufor z laczeniem 2.
215	0.283	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
216	0.283	OK	.	.	.	.	Wypelnij bufor indeksow.
217	0.284	OK	.	.	.	.	Wgraj wierzcholki.
218	0.285	OK	.	.	.	.	Wgraj indeksy.
219	0.286	OK	.	.	.	.	Wgranie tekstury.
220	0.287	OK	.	.	.	.	Tworz bufor z laczeniem 1.
221	0.288	OK	.	.	.	.	Tworz bufor z laczeniem 2.
222	0.289	OK	.	.	.	.	Wypelnij bufor wierzcholkow.
223	0.289	OK	.	.	.	.	Wypelnij bufor indeksow.
224	0.295	OK	.	.	.	.	Wgraj szader wierzcholkow: 
225	0.297	OK	.	.	.	.	Tworz szader wierzcholkow.
226	0.301	OK	.	.	.	.	Wgraj szader pikseli: 
227	0.303	OK	.	.	.	.	Tworz szader pikseli.
228	0.304	OK	.	.	.	.	Tworz strukture wejscia.
229	0.305	OK	.	.	.	.	Wiaz strukture wejscia.
230	0.306	OK	.	.	.	.	Tworzenie rzutni.
231	0.306	OK	.	.	.	.	Wiazanie rzutni.
232	0.307	OK	.	.	.	.	Tworz bufor z laczeniem 4.
233	0.308	OK	.	.	.	.	Tworzenie bufora aktualizowanego co obiekt.
234	0.309	OK	.	.	.	.	Tworzenie stanu probkowania.
235	0.309	OK	.	.	.	.	Wiazanie stanu probkowania.
236	27.425	START	.	.	.	.	Niszczenie kontrolerow.
237	27.435	OK	.	.	.	.	.	Niszczenie myszy.
238	27.447	OK	.	.	.	.	.	Niszczenie klawiatury.
239	27.452	OK	.	.	.	.	.	Niszczenie wejscia.
240	27.453	STOP	.	.	.	.	Niszczenie kontrolerow.
241	27.454	--->	.	.	.	.	Niszcz obiekt 3W.
242	27.455	OK	.	.	.	.	.	Zwolnij bufor indeksow.
243	27.456	OK	.	.	.	.	.	Zwolnij bufor wierzcholkow.
244	27.457	OK	.	.	.	.	.	Zwolnij widok tekstury.
245	27.458	<---	.	.	.	.	Niszcz obiekt 3W.
246	27.459	--->	.	.	.	.	Niszcz obiekt 3W.
247	27.459	OK	.	.	.	.	.	Zwolnij bufor indeksow.
248	27.46	OK	.	.	.	.	.	Zwolnij bufor wierzcholkow.
249	27.461	OK	.	.	.	.	.	Zwolnij widok tekstury.
250	27.461	<---	.	.	.	.	Niszcz obiekt 3W.
251	27.463	--->	.	.	.	.	Niszcz obiekt 3W.
252	27.464	OK	.	.	.	.	.	Zwolnij bufor indeksow.
253	27.464	OK	.	.	.	.	.	Zwolnij bufor wierzcholkow.
254	27.465	OK	.	.	.	.	.	Zwolnij widok tekstury.
255	27.466	<---	.	.	.	.	Niszcz obiekt 3W.
